5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,5,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,
5,5,,0,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,2,3,,5,5,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,5,,,,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,5,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,5,5,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,5,5,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5
,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5
,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,5,5,5
,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,5,5,,,,5,5,,
,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,5,5,,,,5,5,,
,,,,,,,,,,,,,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,5,5,,,,5,5,,
,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,
,,,,,,,,,,,,,5,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,5,5,,
,,,,,,,,,,,,,5,5,,,,,,,,,2,,,3,,,1,,,,,,,,,,,,5,5,,
,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
